WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1749765.5017 5945528.9394)",113800,Silverdale Central (Auckland),3.3615473,3.3615473,-36.62401939885572,174.6749306489042,1749765.5017119232,5945528.9394233525,1749765.5017,5945528.9394
"POINT (1751626.2572 5946911.11175)",113900,Red Beach West,1.83998365,1.83998365,-36.61127025863567,174.69545974681193,1751626.2571976215,5946911.111727974,1751626.2572,5946911.11175
"POINT (1752480.21015 5947489.61545)",114000,Red Beach East,1.56445571,1.56445571,-36.60592112645497,174.7048899152671,1752480.2101596103,5947489.615464861,1752480.21015,5947489.61545
"POINT (1750901.772 5944108.7979)",114100,Silverdale South (Auckland),10.18819656,10.18819656,-36.63663710254605,174.6879125036455,1750901.7719800351,5944108.797881288,1750901.772,5944108.7979
"POINT (1731986.2694 5928814.4072)",114200,Waimauku,5.63271738,5.63271738,-36.77727776886124,174.47904089627167,1731986.269401531,5928814.407185302,1731986.2694,5928814.4072
"POINT (1767629.99925 5941414.02705)",114300,Gulf Islands,66.08078555,66.08078555,-36.65811988969594,174.87552875915782,1767629.9992258863,5941414.027039431,1767629.99925,5941414.02705
"POINT (1753632.5079 5946132.6535)",114400,Vipond,1.38113819,1.38113819,-36.61796366146557,174.7180398954329,1753632.507924613,5946132.6534881685,1753632.5079,5946132.6535
"POINT (1727461.1229 5923559.84975)",114500,Muriwai,3.01225115,3.01225115,-36.82525102042771,174.42922639231003,1727461.122899219,5923559.849751353,1727461.1229,5923559.84975
"POINT (1754497.11155 5945479.32185)",114600,Stanmore Bay West,0.98684481,0.98684481,-36.62371098589612,174.72783601796812,1754497.1115362055,5945479.321864844,1754497.11155,5945479.32185
"POINT (1735737.94665 5927300.4277)",114700,Kumeu Rural West,24.43202628,24.43202628,-36.79039104389506,174.52133873121045,1735737.9466675655,5927300.427699976,1735737.94665,5927300.4277
"POINT (1752809.432 5940692.86345)",114800,Okura Bush,28.98916806,28.98916806,-36.667113674296665,174.70992272307302,1752809.4320086758,5940692.863434027,1752809.432,5940692.86345
